staff_id,staff_name,role,store_id,hire_date,hours_per_week,certification_level
EMP-00079,Kristen Patterson,Pharmacy Technician,ST-0011,2016-07-16,40,Mid
EMP-00080,Tony Vazquez,Pharmacist,ST-0012,2018-11-29,25,Mid
EMP-00081,Sandra Aguilar,Pharmacist,ST-0012,2018-11-23,30,Mid
EMP-00082,Andrew Diaz,Pharmacy Technician,ST-0012,2017-01-19,35,Mid
EMP-00083,Christine Wright,Pharmacy Technician,ST-0012,2018-02-14,20,Senior
EMP-00084,Justin Baxter,Pharmacy Technician,ST-0012,2019-01-02,30,Junior
EMP-00085,Cynthia Martin,Pharmacy Technician,ST-0012,2019-05-22,20,Mid
EMP-00086,Allison Doyle,Pharmacist,ST-0013,2022-01-10,40,Junior
EMP-00087,Jennifer Santiago,Pharmacist,ST-0013,2020-08-06,35,Junior
EMP-00088,Richard Rodriguez,Pharmacist,ST-0013,2017-01-12,35,Junior
EMP-00089,Courtney Velasquez,Pharmacist,ST-0013,2024-03-16,40,Mid
EMP-00090,Robert Savage,Pharmacy Technician,ST-0013,2020-03-02,40,Junior
EMP-00091,Corey Murphy,Pharmacy Technician,ST-0013,2017-07-22,30,Junior
EMP-00092,Diana May,Pharmacy Technician,ST-0013,2023-03-05,40,Senior
EMP-00093,Sarah Rivera,Pharmacy Technician,ST-0013,2016-11-04,30,Mid
EMP-00094,Wesley White,Pharmacy Technician,ST-0013,2020-11-21,40,Mid
EMP-00095,Kyle Reed,Pharmacist,ST-0014,2021-09-17,35,Junior
EMP-00096,William Wilson,Pharmacy Technician,ST-0014,2026-03-08,20,Senior
EMP-00097,Andrew Graham,Pharmacy Technician,ST-0014,2025-03-21,40,Mid
EMP-00098,Kimberly Ball,Pharmacy Technician,ST-0014,2019-09-23,30,Junior
EMP-00099,Benjamin Beck,Pharmacy Technician,ST-0014,2021-12-28,40,Senior
EMP-00100,Mary Martinez,Pharmacist,ST-0015,2021-06-26,40,Mid
EMP-00101,Mary Nguyen,Pharmacist,ST-0015,2021-05-28,35,Junior
EMP-00102,Cheryl Ortega,Pharmacist,ST-0015,2022-10-28,25,Senior
EMP-00103,Stephanie Gilbert,Pharmacist,ST-0015,2021-06-30,35,Junior
EMP-00104,Roy Torres,Pharmacy Technician,ST-0015,2019-12-14,25,Mid
EMP-00105,Kevin Pena,Pharmacy Technician,ST-0015,2024-04-14,20,Junior
EMP-00106,Michael Dixon,Pharmacy Technician,ST-0015,2019-04-06,35,Mid
EMP-00107,Diane Beck,Pharmacy Technician,ST-0015,2022-01-28,40,Junior
EMP-00108,Trevor Young,Pharmacy Technician,ST-0015,2021-08-27,40,Junior
EMP-00109,Curtis Johnson,Pharmacy Technician,ST-0015,2020-07-16,30,Mid
EMP-00110,Miss Patricia Gibson,Pharmacist,ST-0016,2026-03-03,35,Senior
EMP-00111,Michael Snyder,Pharmacist,ST-0016,2020-07-11,40,Mid
EMP-00112,Michael Stafford,Pharmacist,ST-0016,2018-03-10,20,Mid
EMP-00113,Colleen Brock,Pharmacist,ST-0016,2025-03-09,30,Junior
EMP-00114,Justin Lowery,Pharmacist,ST-0016,2018-06-10,40,Mid
EMP-00115,Robert Contreras,Pharmacy Technician,ST-0016,2025-11-19,40,Mid
EMP-00116,Tiffany Vance,Pharmacy Technician,ST-0016,2024-12-17,40,Mid
EMP-00117,Terry Griffin,Pharmacy Technician,ST-0016,2019-01-30,35,Mid
EMP-00118,Karen Green,Pharmacy Technician,ST-0016,2020-07-31,25,Mid
EMP-00119,Destiny Strickland,Pharmacy Technician,ST-0016,2024-08-14,30,Junior
EMP-00120,Denise Jones,Pharmacy Technician,ST-0016,2021-03-27,35,Junior
EMP-00121,George Orozco,Pharmacist,ST-0017,2017-09-29,40,Senior
EMP-00122,David Benson,Pharmacist,ST-0017,2020-01-06,40,Mid
EMP-00123,Jason Daniels,Pharmacist,ST-0017,2023-06-13,20,Senior
EMP-00124,Ross Price,Pharmacy Technician,ST-0017,2026-04-24,30,Senior
EMP-00125,Alicia Gilmore,Pharmacy Technician,ST-0017,2026-03-03,40,Senior
EMP-00126,Aaron Bell,Pharmacy Technician,ST-0017,2023-01-04,30,Mid
EMP-00127,Tiffany Barnes,Pharmacy Technician,ST-0017,2025-08-31,40,Junior
EMP-00128,Stephanie Freeman,Pharmacy Technician,ST-0017,2021-01-06,25,Mid
EMP-00129,Allen Rogers,Pharmacy Technician,ST-0017,2023-04-03,40,Mid
EMP-00130,Sara Calhoun,Pharmacist,ST-0018,2025-06-17,35,Junior
EMP-00131,James Elliott,Pharmacist,ST-0018,2016-11-01,35,Senior
EMP-00132,Jeffrey Camacho,Pharmacy Technician,ST-0018,2019-06-20,25,Mid
EMP-00133,James Lewis,Pharmacy Technician,ST-0018,2021-12-07,40,Mid
EMP-00134,Shawn Ramirez,Pharmacy Technician,ST-0018,2023-07-19,40,Mid
EMP-00135,Bradley Smith,Pharmacist,ST-0019,2025-07-20,30,Junior
EMP-00136,Trevor Walker,Pharmacist,ST-0019,2017-07-17,40,Senior
EMP-00137,Marissa Webster,Pharmacy Technician,ST-0019,2020-07-31,40,Senior
EMP-00138,Alex Hernandez,Pharmacy Technician,ST-0019,2018-07-10,35,Mid
EMP-00139,Brian Gould,Pharmacist,ST-0020,2024-04-14,40,Mid
EMP-00140,Pamela Jackson,Pharmacist,ST-0020,2018-04-28,40,Mid
EMP-00141,Carla Collins,Pharmacist,ST-0020,2026-03-21,40,Junior
EMP-00142,Eric Byrd,Pharmacy Technician,ST-0020,2022-10-05,30,Junior
EMP-00143,Miguel Jones,Pharmacy Technician,ST-0020,2020-07-04,35,Junior
EMP-00144,Raymond Jefferson,Pharmacy Technician,ST-0020,2018-06-08,35,Mid
EMP-00145,Kylie Williams,Pharmacy Technician,ST-0020,2025-06-09,30,Mid
EMP-00146,Jacob Hunter,Pharmacist,ST-0021,2022-03-07,20,Junior
EMP-00147,Jason Henry,Pharmacist,ST-0021,2023-10-01,40,Mid
EMP-00148,Madison Poole,Pharmacist,ST-0021,2018-12-23,25,Mid
EMP-00149,Nicholas Sheppard,Pharmacist,ST-0021,2020-12-20,40,Junior
EMP-00150,Tamara Hampton,Pharmacy Technician,ST-0021,2024-04-13,35,Junior
EMP-00151,Nicholas Adams,Pharmacy Technician,ST-0021,2020-07-20,20,Mid
EMP-00152,Angelica Keith,Pharmacy Technician,ST-0021,2020-07-10,35,Mid
EMP-00153,Laura Barnett,Pharmacy Technician,ST-0021,2022-02-05,40,Senior
EMP-00154,Samuel White,Pharmacy Technician,ST-0021,2019-12-26,35,Junior
EMP-00155,David Ramirez,Pharmacist,ST-0022,2021-01-27,40,Junior
EMP-00156,Kellie Lee,Pharmacist,ST-0022,2020-06-24,30,Junior
EMP-00157,Katherine Chang,Pharmacy Technician,ST-0022,2024-06-22,20,Senior
EMP-00158,Katherine Mcguire,Pharmacy Technician,ST-0022,2017-12-16,40,Mid
EMP-00159,Jared Sanchez,Pharmacy Technician,ST-0022,2026-04-08,30,Junior
EMP-00160,Juan Cooper,Pharmacy Technician,ST-0022,2025-09-26,25,Junior
EMP-00161,Michael Nelson,Pharmacist,ST-0023,2020-08-26,35,Mid
EMP-00162,Nathan Stewart,Pharmacist,ST-0023,2025-06-28,40,Junior
EMP-00163,Melissa Lee,Pharmacist,ST-0023,2024-08-11,40,Mid
EMP-00164,Kevin Wolf,Pharmacist,ST-0023,2021-03-10,35,Mid
EMP-00165,Dr. Elizabeth Ward,Pharmacy Technician,ST-0023,2021-07-08,30,Junior
EMP-00166,Joseph Hill,Pharmacy Technician,ST-0023,2017-04-20,30,Mid
EMP-00167,Melissa Martinez,Pharmacy Technician,ST-0023,2024-09-22,20,Junior
EMP-00168,Adam Mitchell,Pharmacy Technician,ST-0023,2024-07-08,20,Junior
EMP-00169,Cody Williams,Pharmacy Technician,ST-0023,2024-07-02,40,Mid
EMP-00170,Austin Vasquez,Pharmacy Technician,ST-0023,2026-03-11,35,Junior
EMP-00171,Amy Hernandez,Pharmacy Technician,ST-0023,2025-12-13,35,Mid
EMP-00172,Angela Wright,Pharmacist,ST-0024,2025-11-13,25,Mid
EMP-00173,Lisa Gibbs,Pharmacist,ST-0024,2020-03-19,30,Mid
EMP-00174,Jamie Kerr,Pharmacist,ST-0024,2021-06-07,35,Junior
EMP-00175,Wanda Torres,Pharmacy Technician,ST-0024,2017-05-26,30,Mid
EMP-00176,Natalie Meza,Pharmacy Technician,ST-0024,2019-11-29,35,Senior
EMP-00177,Deborah Miller,Pharmacy Technician,ST-0024,2020-06-15,40,Junior
EMP-00178,Benjamin Smith,Pharmacy Technician,ST-0024,2024-01-15,20,Mid
EMP-00179,Julie Johnson,Pharmacy Technician,ST-0024,2021-04-11,20,Mid
EMP-00180,Michele Gibson,Pharmacy Technician,ST-0024,2020-05-06,40,Mid
EMP-00181,Rachel Weber,Pharmacy Technician,ST-0024,2019-09-28,30,Mid
EMP-00182,Joshua Holland,Pharmacist,ST-0025,2020-11-22,35,Mid
EMP-00183,Andrea Martin,Pharmacist,ST-0025,2021-08-10,40,Mid
EMP-00184,Samantha Morse,Pharmacist,ST-0025,2023-11-05,40,Senior
EMP-00185,Michael Lyons,Pharmacist,ST-0025,2021-01-02,25,Junior
EMP-00186,Katherine Miller,Pharmacist,ST-0025,2017-01-19,25,Junior
EMP-00187,Morgan Munoz,Pharmacy Technician,ST-0025,2016-10-24,20,Mid
EMP-00188,Vernon Huff,Pharmacy Technician,ST-0025,2026-02-28,20,Junior
EMP-00189,Alicia Hubbard,Pharmacy Technician,ST-0025,2020-12-16,40,Junior
EMP-00190,Pamela Thompson,Pharmacy Technician,ST-0025,2025-03-15,40,Junior
EMP-00191,Sydney White,Pharmacy Technician,ST-0025,2026-05-02,25,Mid
EMP-00192,Robert Costa,Pharmacy Technician,ST-0025,2024-05-15,35,Senior
EMP-00193,Gary Santiago,Pharmacy Technician,ST-0025,2019-02-10,40,Senior
EMP-00194,Michael Roberts,Pharmacy Technician,ST-0025,2023-03-10,30,Junior
EMP-00195,Krista Gibson,Pharmacist,ST-0026,2021-09-22,40,Senior
EMP-00196,Brian Barton,Pharmacist,ST-0026,2025-02-16,40,Mid
EMP-00197,April Booth,Pharmacist,ST-0026,2024-03-26,30,Mid
EMP-00198,Cody Cox,Pharmacy Technician,ST-0026,2024-11-08,30,Senior
EMP-00199,Olivia Harris,Pharmacy Technician,ST-0026,2025-09-19,40,Mid
EMP-00200,Dwayne Gilmore,Pharmacy Technician,ST-0026,2024-08-14,40,Mid
EMP-00201,William Lynch,Pharmacy Technician,ST-0026,2020-06-11,25,Senior
EMP-00202,Emily Smith,Pharmacy Technician,ST-0026,2023-04-26,35,Senior
EMP-00203,Willie Durham,Pharmacist,ST-0027,2024-03-23,30,Senior
EMP-00204,Maria Moore,Pharmacist,ST-0027,2021-05-04,30,Junior
EMP-00205,Denise Davenport,Pharmacist,ST-0027,2024-05-29,40,Junior
EMP-00206,Juan Reyes,Pharmacy Technician,ST-0027,2025-01-08,30,Senior
EMP-00207,Breanna Jones,Pharmacy Technician,ST-0027,2023-06-08,40,Mid
EMP-00208,Richard Adams,Pharmacy Technician,ST-0027,2016-06-01,35,Mid
EMP-00209,Edwin Matthews,Pharmacy Technician,ST-0027,2024-09-14,30,Junior
EMP-00210,Jill Washington,Pharmacy Technician,ST-0027,2022-01-11,40,Mid
EMP-00211,Kimberly Gibson,Pharmacy Technician,ST-0027,2021-11-06,40,Mid
EMP-00212,Veronica Allen,Pharmacy Technician,ST-0027,2022-11-21,20,Mid
EMP-00213,Reginald Williams,Pharmacist,ST-0028,2024-06-02,20,Mid
EMP-00214,Roberta Hughes,Pharmacist,ST-0028,2018-12-18,30,Senior
EMP-00215,Andrew Shaw MD,Pharmacist,ST-0028,2018-01-30,30,Junior
EMP-00216,Jessica Fox,Pharmacy Technician,ST-0028,2024-02-24,25,Mid
EMP-00217,Charles Pitts,Pharmacy Technician,ST-0028,2019-01-01,35,Junior
EMP-00218,Richard Baker,Pharmacy Technician,ST-0028,2023-02-19,20,Mid
EMP-00219,Sarah Phelps,Pharmacy Technician,ST-0028,2025-06-14,20,Senior
EMP-00220,Eugene Higgins,Pharmacy Technician,ST-0028,2024-09-04,40,Junior
EMP-00221,Amanda Jones,Pharmacist,ST-0029,2021-04-06,20,Senior
EMP-00222,Nicole Hamilton MD,Pharmacist,ST-0029,2018-01-31,30,Mid
EMP-00223,Michael Berger,Pharmacist,ST-0029,2017-02-26,40,Senior
EMP-00224,Anthony Howard,Pharmacist,ST-0029,2023-09-14,40,Mid
EMP-00225,Joseph Knight,Pharmacy Technician,ST-0029,2019-06-09,30,Junior
EMP-00226,Bob Pitts,Pharmacy Technician,ST-0029,2020-06-21,40,Mid
EMP-00227,Mr. David Little MD,Pharmacy Technician,ST-0029,2016-07-14,30,Senior
EMP-00228,Julie Roberts,Pharmacy Technician,ST-0029,2025-09-03,25,Mid
EMP-00229,Jeremy Reed,Pharmacy Technician,ST-0029,2026-05-16,20,Mid
EMP-00230,Victor Vaughn,Pharmacy Technician,ST-0029,2024-02-23,20,Junior
EMP-00231,Christina Cruz,Pharmacy Technician,ST-0029,2024-08-05,25,Mid
EMP-00232,James Howard,Pharmacist,ST-0030,2021-05-29,40,Mid
EMP-00233,Elizabeth Spence DDS,Pharmacist,ST-0030,2021-01-16,40,Mid
EMP-00234,Sean Osborne,Pharmacy Technician,ST-0030,2017-03-17,30,Senior
EMP-00235,Natasha Wall,Pharmacy Technician,ST-0030,2021-03-30,25,Senior
EMP-00236,Crystal Pham,Pharmacy Technician,ST-0030,2020-02-06,20,Senior
EMP-00237,Lisa Byrd,Pharmacist,ST-0031,2018-09-13,20,Senior
EMP-00238,Stephanie Lucas,Pharmacy Technician,ST-0031,2021-08-18,35,Senior
EMP-00239,Amanda Diaz,Pharmacy Technician,ST-0031,2018-08-11,20,Mid
EMP-00240,Edward Burgess,Pharmacy Technician,ST-0031,2019-05-13,40,Mid
EMP-00241,Richard Walter,Pharmacist,ST-0032,2022-08-07,35,Mid
EMP-00242,Susan Rivas,Pharmacist,ST-0032,2020-09-29,35,Mid
EMP-00243,Terry Coffey,Pharmacist,ST-0032,2021-05-24,35,Senior
EMP-00244,Gina Wilson,Pharmacist,ST-0032,2017-08-27,20,Junior
EMP-00245,Vincent Dalton,Pharmacist,ST-0032,2023-02-19,40,Senior
EMP-00246,Regina Diaz,Pharmacy Technician,ST-0032,2023-02-01,35,Mid
EMP-00247,Joshua Gibson,Pharmacy Technician,ST-0032,2020-11-01,30,Junior
EMP-00248,Samantha Bentley,Pharmacy Technician,ST-0032,2018-03-21,35,Mid
EMP-00249,Kaitlyn Harvey,Pharmacy Technician,ST-0032,2025-12-04,35,Junior
EMP-00250,Leonard Holland,Pharmacy Technician,ST-0032,2024-04-09,40,Senior
EMP-00251,Elizabeth Ortiz,Pharmacy Technician,ST-0032,2018-10-02,40,Mid
EMP-00252,Andrew Ferrell,Pharmacy Technician,ST-0032,2018-05-08,30,Senior
EMP-00253,Stephen Taylor,Pharmacist,ST-0033,2024-02-03,40,Junior
EMP-00254,Travis Horton,Pharmacist,ST-0033,2025-07-25,40,Senior
EMP-00255,Patrick Moore,Pharmacy Technician,ST-0033,2023-06-08,40,Mid
EMP-00256,Sandra Gilbert,Pharmacy Technician,ST-0033,2021-02-18,35,Mid
EMP-00257,Jacob Ramos,Pharmacist,ST-0034,2020-05-23,40,Senior
EMP-00258,Ariana Jennings,Pharmacist,ST-0034,2025-08-21,20,Junior
EMP-00259,Maria Brown,Pharmacy Technician,ST-0034,2021-01-25,30,Senior
EMP-00260,Bryan Charles,Pharmacy Technician,ST-0034,2024-02-10,40,Junior
EMP-00261,Daniel Fowler,Pharmacy Technician,ST-0034,2016-09-26,35,Mid
EMP-00262,Gavin Zhang,Pharmacist,ST-0035,2025-12-24,40,Senior
EMP-00263,Ronald Spencer,Pharmacist,ST-0035,2026-05-08,40,Mid
EMP-00264,Sergio Murphy,Pharmacist,ST-0035,2018-11-19,30,Junior
EMP-00265,Linda Ramirez,Pharmacist,ST-0035,2018-11-02,20,Senior
EMP-00266,Ms. Rebecca Rodriguez,Pharmacy Technician,ST-0035,2016-10-24,40,Senior
EMP-00267,Hunter Kramer,Pharmacy Technician,ST-0035,2021-11-18,40,Mid
EMP-00268,Derek Martinez,Pharmacy Technician,ST-0035,2023-07-15,40,Senior
EMP-00269,Nichole Alvarez,Pharmacy Technician,ST-0035,2022-07-14,40,Junior
EMP-00270,Ashley Gordon,Pharmacy Technician,ST-0035,2017-02-10,35,Junior
EMP-00271,Susan Hopkins,Pharmacy Technician,ST-0035,2021-07-04,40,Mid
EMP-00272,Victor Brown,Pharmacy Technician,ST-0035,2024-07-10,25,Mid
EMP-00273,Jessica Rodriguez,Pharmacy Technician,ST-0035,2023-12-03,35,Mid
EMP-00274,Bobby Franklin,Pharmacist,ST-0036,2017-06-29,25,Mid
EMP-00275,Marcus Richards,Pharmacist,ST-0036,2021-11-27,35,Mid
EMP-00276,Kyle Phillips,Pharmacist,ST-0036,2024-12-22,35,Senior
EMP-00277,Annette Miles,Pharmacist,ST-0036,2025-10-02,35,Mid
EMP-00278,Cindy Hayes,Pharmacy Technician,ST-0036,2020-04-05,40,Mid
EMP-00279,Ronald Ross,Pharmacy Technician,ST-0036,2017-12-28,25,Junior
EMP-00280,Erik Scott,Pharmacy Technician,ST-0036,2018-12-21,40,Mid
EMP-00281,Kara Davis,Pharmacy Technician,ST-0036,2017-10-29,40,Junior
EMP-00282,Brent Rodgers,Pharmacy Technician,ST-0036,2018-08-03,25,Junior
EMP-00283,Laurie Hoffman,Pharmacy Technician,ST-0036,2021-12-25,30,Mid
EMP-00284,Jennifer Russo,Pharmacy Technician,ST-0036,2023-07-28,30,Mid
EMP-00285,Michelle Schmitt,Pharmacist,ST-0037,2021-09-09,40,Junior
EMP-00286,Kenneth Lewis,Pharmacist,ST-0037,2024-07-30,35,Mid
EMP-00287,Brian Bruce,Pharmacist,ST-0037,2022-08-17,30,Mid
EMP-00288,Donald Perez,Pharmacy Technician,ST-0037,2023-09-04,40,Senior
EMP-00289,Vanessa Cardenas,Pharmacy Technician,ST-0037,2025-11-05,25,Senior
EMP-00290,Timothy Gallegos,Pharmacy Technician,ST-0037,2020-12-03,35,Junior
EMP-00291,Donald Farmer,Pharmacy Technician,ST-0037,2022-02-26,35,Senior
EMP-00292,Christopher Thomas,Pharmacy Technician,ST-0037,2023-03-12,35,Junior
EMP-00293,Patrick Bonilla,Pharmacy Technician,ST-0037,2017-12-08,35,Junior
EMP-00294,Cindy Barnes,Pharmacy Technician,ST-0037,2022-03-05,20,Junior
EMP-00295,Eric Nguyen,Pharmacist,ST-0038,2026-01-11,25,Junior
EMP-00296,Sophia Moore,Pharmacist,ST-0038,2017-03-22,25,Mid
EMP-00297,Denise Stanley,Pharmacy Technician,ST-0038,2024-08-20,25,Junior
EMP-00298,Jennifer Lewis,Pharmacy Technician,ST-0038,2025-02-02,40,Mid
EMP-00299,Jeffrey Campbell,Pharmacy Technician,ST-0038,2024-08-26,40,Junior
EMP-00300,Elizabeth Walker,Pharmacy Technician,ST-0038,2017-04-22,25,Junior
EMP-00301,Eric Clark,Pharmacy Technician,ST-0038,2018-09-16,25,Junior
EMP-00302,Donna Wilson,Pharmacist,ST-0039,2024-11-01,25,Junior
EMP-00303,Casey James,Pharmacist,ST-0039,2020-04-15,25,Mid
EMP-00304,Sandra Drake,Pharmacist,ST-0039,2017-08-07,25,Mid
EMP-00305,Patrick Graham,Pharmacist,ST-0039,2024-03-12,35,Mid
EMP-00306,Shannon Johnston,Pharmacy Technician,ST-0039,2026-02-16,20,Mid
EMP-00307,Mark Roberts,Pharmacy Technician,ST-0039,2023-04-07,35,Junior
EMP-00308,Frederick Solis,Pharmacy Technician,ST-0039,2024-03-14,40,Senior
EMP-00309,Tamara Davis,Pharmacy Technician,ST-0039,2018-03-05,20,Junior
EMP-00310,Kevin Warren,Pharmacy Technician,ST-0039,2023-02-09,40,Mid
EMP-00311,Nichole Walker,Pharmacy Technician,ST-0039,2019-03-27,25,Junior
EMP-00312,Mark Schmidt,Pharmacist,ST-0040,2019-09-03,30,Mid
EMP-00313,Hannah Luna,Pharmacist,ST-0040,2018-11-20,35,Mid
EMP-00314,Charles Gonzalez,Pharmacist,ST-0040,2018-12-22,35,Mid
EMP-00315,Mary Thompson,Pharmacist,ST-0040,2024-10-12,20,Junior
EMP-00316,Justin Riley,Pharmacy Technician,ST-0040,2025-12-23,40,Senior
EMP-00317,Victoria Morris,Pharmacy Technician,ST-0040,2021-10-02,35,Mid
EMP-00318,Barry Ramos,Pharmacy Technician,ST-0040,2021-07-11,25,Mid
EMP-00319,Leslie Bell,Pharmacy Technician,ST-0040,2017-08-21,35,Junior
EMP-00320,Jesse Brown,Pharmacy Technician,ST-0040,2021-04-04,30,Mid
EMP-00321,Sean Wyatt,Pharmacy Technician,ST-0040,2024-12-31,20,Junior
